Start Date,End Date,Headline,Text,Media,Media Credit,Media Caption,Media Thumbnail,Type,Tag
10/1/2011,,Mandela: A Life of Purpose,"Nelson Mandela, the revolutionary-turned-prisoner-turned-president who led South Africa out of apartheid and into an era of political and racial reconciliation, passed away on Dec. 5, 2013. He was 95. As both the father of his nation and its conscience, Mandela’s remarkable life changed history and its legacy resonates around the world.",http://timeglobalspin.files.wordpress.com/2013/06/130114137421.jpg?w=519,David Turnley / Corbis,Mandela in 1990.,http://timeglobalspin.files.wordpress.com/2013/06/130114137421.jpg?w=32&h=32&crop=1,title,
7/18/1918 0:00:00,7/18/1918 0:00:00,A Child is Born,"Rolihlahla Dalibhunga Mandela is born in Mvezo, South Africa. One of 13 children, he was the eldest child
of his father’s third wife. A teacher later gave him the name Nelson.",,,,,,
1/1/1942 0:00:00,1/1/1942 0:00:00,African National Congress,"Mandela begins attending meetings of the African National Congress (ANC). Two years later, he formally joined the group and helped establish the Youth League.",http://timeglobalspin.files.wordpress.com/2013/12/51400478.jpg?w=519,AFP / Getty Images,Supporters of the African National Congress gather as part of a civil disobedience campaign to protest the apartheid regime of racial segregation.,http://timeglobalspin.files.wordpress.com/2013/12/51400478.jpg?w=32&h=32&crop=1,,
7/15/1944 0:00:00,7/15/1944 0:00:00,Marriage,"Mandela marries Evelyn Ntoko Mase. They had four children, one of whom died at the age of 9 months. Nelson and Evelyn divorced in 1958. ",,,,,,
1/1/1948 0:00:00,1/1/1948 0:00:00,The National Party wins elections and begins enacting apartheid laws.,,,,,,,
8/1/1952 0:00:00,8/1/1952 0:00:00,Law Firm,Mandela and Oliver Tambo found South Africa’s first black-run law firm. ,http://timeglobalspin.files.wordpress.com/2013/06/130114134870.jpg?w=519,Jurgen Schadeberg / Getty Images,Mandela in the office of Mandela and Tambo,http://timeglobalspin.files.wordpress.com/2013/06/130114134870.jpg?w=32&h=32&crop=1,,
12/5/1956 0:00:00,12/5/1956 0:00:00,Arrest,"Mandela is arrested and charged with high treason along with 155 other activists, all of whom are eventually acquitted. The trials of the last 30 defendants, including Mandela, did not end until March 29, 1961.",,,,,,
6/14/1958 0:00:00,6/14/1958 0:00:00,Second Marriage,"Mandela marries Nomzamo Winifred Madikizela, known as Winnie. They had two daughters and divorced in 1996.",http://timeglobalspin.files.wordpress.com/2013/06/130114137440.jpg?w=519,Sunday Times / SIPA USA,,http://timeglobalspin.files.wordpress.com/2013/06/130114137440.jpg?w=32&h=32&crop=1,,
3/21/1960 0:00:00,3/21/1960 0:00:00,Sharpeville Massacre,"Police open fire on a crowd of unarmed anti-apartheid protesters in Sharpeville, killing 69 and injuring 180 others.",http://timeglobalspin.files.wordpress.com/2013/06/130114134887.jpg?w=519,Central Press / Getty Images,"An armed man stands beside the body of one of the sixty-nine black South Africans killed by police in the massacre at Sharpeville, South Africa, March 21, 1960.",http://timeglobalspin.files.wordpress.com/2013/06/130114134887.jpg?w=32&h=32&crop=1,,
4/8/1960 0:00:00,4/8/1960 0:00:00,The government bans the ANC and declares a state of emergency.,,,,,,,
6/1/1961 0:00:00,6/1/1961 0:00:00,"Forms the ANC’s military wing, Umkhonto we Sizwe (Spear of the Nation).",,,,,,,
1/11/1962 0:00:00,1/11/1962 0:00:00,Sneaking for Support,"Mandela sneaks out of South Africa, traveling the continent and visiting England to drum up support for the ANC’s cause. After receiving military training in North Africa, Mandela returned to South Africa in July.",http://timeglobalspin.files.wordpress.com/2013/06/130114134884.jpg?w=519,Dennis Lee Royle / AP,"African women join in a demonstration demanding the release of Mandela in South Africa, Aug. 16, 1962.",http://timeglobalspin.files.wordpress.com/2013/06/130114134884.jpg?w=32&h=32&crop=1,,
8/5/1962 0:00:00,8/5/1962 0:00:00,Prison Sentence,"Mandela receives a five-year prison sentence on charges of leaving the country illegally and inciting workers to strike. In 1964, after a trial for sabotage, Mandela was sentenced to life in prison without parole. He was sent to Robben Island, off Cape Town, where he remained until 1982.",,,,,,
1/1/1974 0:00:00,1/1/1975 0:00:00,Memoir,"Mandela begins secretly writing his memoir, which becomes the basis for his autobiography, <i>Long Walk to Freedom</i>, published in 1995.",,,,,,
3/9/1980 0:00:00,3/9/1980 0:00:00,A Campaign for Freedom,"Percy Qoboza, editor of the Johannesburg <i>Sunday Post</i>, launches a campaign for Mandela’s release, noting that “he commands a following that is unheard of in this land.”",,,,,,
3/31/1982 0:00:00,3/31/1982 0:00:00,"Mandela is transferred to Pollsmoor, a maximum-security prison in southern Cape Town.",,,,,,,
1/31/1985 0:00:00,1/31/1985 0:00:00,An Offer,President P.W. Botha offers to free Mandela if he renounces violence. Mandela refuses but soon begins a series of secret meetings with government officials.,,,,,,
8/1/1988 0:00:00,8/1/1988 0:00:00,Mandela is diagnosed with tuberculosis.,,,,,,,
12/7/1988 0:00:00,12/7/1988 0:00:00,"Mandela is moved to the Cape winelands’ Victor Verster Prison, where he has his own bungalow.",,,,,,,
7/4/1989 0:00:00,7/4/1989 0:00:00,Meeting,"Mandela meets with Botha in Cape Town. A month later, F.W. de Klerk succeeded Botha as President.",,,,,,
12/13/1989 0:00:00,12/13/1989 0:00:00,Meets with De Klerk.,,,,,,,
2/2/1990 0:00:00,2/2/1990 0:00:00,Ban Lifted,De Klerk lifts the ban on the ANC and announces that Mandela will be released from prison “without delay.”,,,,,,
2/11/1990 0:00:00,2/11/1990 0:00:00,Mandela is freed after 27 years. ,,http://timeglobalspin.files.wordpress.com/2012/06/nelson_mandela_071.jpg?w=519,AP,Mandela walks with his wife Winnie after being released from prison.,http://timeglobalspin.files.wordpress.com/2012/06/nelson_mandela_071.jpg?w=32&h=32&crop=1,,
7/1/1991 0:00:00,7/1/1991 0:00:00,Mandela replaces Tambo as ANC president.,,,,,,,
10/15/1993 0:00:00,10/15/1993 0:00:00,Mandela and De Klerk win the Nobel Peace Prize.,,http://timeglobalspin.files.wordpress.com/2012/06/nelson_mandela_091.jpg?w=519,Reuters/ Corbis,,http://timeglobalspin.files.wordpress.com/2012/06/nelson_mandela_091.jpg?w=32&h=32&crop=1,,
4/27/1994 0:00:00,4/27/1994 0:00:00,Mandela casts his vote in South Africa’s first democratic elections. ,,,,,,,
5/10/1994 0:00:00,5/10/1994 0:00:00,Mandela is inaugurated as South Africa’s first black President.,,http://timeglobalspin.files.wordpress.com/2012/06/nelson_mandela_131.jpg?w=519,Louise Gubb / Corbis,Mandela takes the oath of office. ,http://timeglobalspin.files.wordpress.com/2012/06/nelson_mandela_131.jpg?w=32&h=32&crop=1,,
1/1/1995 0:00:00,1/1/1995 0:00:00,Rugby World Cup,"South Africa hosts the Rugby World Cup. Mandela urges black South Africans to cheer for the Springboks, who were strongly associated with apartheid. They won the tournament and their story was retold in Clint Eastwood’s 2009 film <i>Invictus</i>.",http://timeglobalspin.files.wordpress.com/2013/06/130624130017.jpg?w=519,Jean-Pierre Muller / AFP / Getty Images,"Mandela congratulates South Africa's rugby team captain François Pienaar before handing him the William Webb trophy after his team's victory over New Zealand in the final of the Rugby World Cup at Ellis Park in Johannesburg, June 24, 1995.",http://timeglobalspin.files.wordpress.com/2013/06/130624130017.jpg?w=32&h=32&crop=1,,
7/18/1998 0:00:00,7/18/1998 0:00:00,"On his 80th birthday, Mandela marries Graça Machel, the widow of a former Mozambican President.",,http://timeglobalspin.files.wordpress.com/2013/06/130114134877.jpg?w=519,AP,,http://timeglobalspin.files.wordpress.com/2013/06/130114134877.jpg?w=32&h=32&crop=1,,
6/1/1999 0:00:00,6/1/1999 0:00:00,Mandela steps down after one term as President. He was succeeded by Thabo Mbeki.,,http://timeglobalspin.files.wordpress.com/2013/06/130114134878.jpg?w=519,Oryx Media Archive / Gallo Images / Getty Images,,http://timeglobalspin.files.wordpress.com/2013/06/130114134878.jpg?w=32&h=32&crop=1,,
7/1/2001 0:00:00,7/1/2001 0:00:00,Mandela is diagnosed with prostate cancer.,,,,,,,
6/1/2004 0:00:00,6/1/2004 0:00:00,Mandela retires from public life.,,,,,,,
1/6/2005 0:00:00,1/6/2005 0:00:00,Death of a Son,Mandela announces that his son Makgatho has died of AIDS and urges South Africans to treat AIDS as a “normal illness” rather than “something extraordinary for which people go to hell and not to heaven.”,http://timeglobalspin.files.wordpress.com/2013/06/130114134879.jpg?w=519,Lefty Shivambu / AP,Makgatho Mandela in August 2000.,http://timeglobalspin.files.wordpress.com/2013/06/130114134879.jpg?w=32&h=32&crop=1,,
7/18/2007 0:00:00,7/18/2007 0:00:00,The Elders,"Mandela, Machel and Archbishop Desmond Tutu launch the Elders, a group of world leaders dedicated to peace and human rights. ",,,,,,
10/1/2010 0:00:00,10/1/2010 0:00:00,A Second Book,"Mandela publishes his second book, <i>Conversations With Myself</i>.",,,,,,
7/1/2011 0:00:00,7/1/2011 0:00:00,Back Home,"Mandela moves to Qunu, near his birthplace of Mvezo, though he occasionally returns to Pretoria for medical checkups.",,,,,,
12/5/2013 0:00:00,12/5/2013 0:00:00,The Loss of an Icon,"Nelson Mandela dies at the age of 95. ""He is now resting. He is now at peace,"" South Africa's President Jacob Zuma said. ""Our nation has lost its greatest son. Our people have lost a father.""",http://timeglobalspin.files.wordpress.com/2013/12/time-mandela-cover.jpg?w=519,Photograph by Hans Gedda,TIME's Nelson Mandela Commemorative Issue,http://timeglobalspin.files.wordpress.com/2013/12/time-mandela-cover.jpg?w=32&h=32&crop=1,,
