Start Date,End Date,Headline,Text,Media,Media Credit,Media Caption,Media Thumbnail,Type,Tag
1177/11/25,,Battle of Montgisard: Baldwin IV of Jerusalem and Raynald of Chatillon defeat Saladin.,,,,,,,
1187/05/01,,Battle of Cresson: Saladin defeats the crusaders.,,,,,,,
1187/07/04,,"Battle of Hattin: Saladin defeats Guy of Lusignan, King of Jerusalem.",,,,,,,
1187/10/02,,Saladin captured Jerusalem from Crusaders.,,,,,,,
1189/01/01,1192/12/31,Third Crusade led by the armies of Richard the Lionhearted.,,,,,,,
1189/08/01,1191/07/31,The Siege of Acre took place during the Third Crusade.,,,,,,,
1191/08/20,,"Richard the Lionhearted had 2,700 of the Muslim prisoners from the garrison of Acre decapitated.",,,,,,,
1191/09/07,,Richard I of England defeats Saladin at the Battle of Arsuf during the Third Crusade.,,,,,,,
66/01/01,73/12/31,"The First Jewish–Roman War occurs, the first uprising of Jews of the Iudaea province against the rule of the Roman Empire.",,,,,,,war
70/01/01,,First Jewish–Roman War: The Roman Empire conquer Jerusalem and destroy the Second Jewish Temple.,,,,,,,war
73/01/01,,The conquest of Masada by the Roman Empire ends the Jewish Rebellion.,,,,,,,war
130/01/01,,"Roman emperor Hadrian builds a Roman city he called ""Colonia Aelia Capitolina"" on the ruins of Jerusalem.",,,,,,,
132/01/01,135/12/31,"The Bar Kokhba revolt takes place, the third major rebellion by the Jews of Iudaea Province against the rule of the Roman Empire. After the rebellion failed emperor Hadrian changed the name of the province from Iudaea to ""Syria Palaestina"" in order to complete the dissociation between the Jewish rebels to the region.",,,,,,,
324/01/01,,"Emperor of the Eastern Roman Empire Constantine the Great, having defeated Emperor Maximian, Caesar of the Western Roman Empire at the Battle of the Milvian Bridge becomes the sole ruler of the re-united Roman Empire with its capital at Byzantium (New Rome) and declares Christianity as the official religion of the empire.",,,,,,,
326/01/01,333/12/31,Concurrent construction of the world's first 4 church buildings under Helena's Tutelage.,,,,,,,christian
351/01/01,352/12/31,Jewish revolt against Gallus: the Jewish community began a rebellion in the region of Palestine against the Caesar of the Byzantine (Eastern Roman) Emperor Constantius Gallus.,,,,,,,riot
363/01/01,,The severe Galilee earthquake of 363 occurred.,,,,,,,disaster
614/01/01,,The Persian Empire under general Shahrbaraz captures and sacks Jerusalem; the Church of the Holy Sepulchre is damaged by fire and the True Cross is captured.,,,,,,,war
629/01/01,,"Byzantine Emperor Heraclius retakes Jerusalem, after the decisive defeat of the Sassanid Empire at the Battle of Nineveh (627).",,,,,,,war
638/01/01,,The conquest of Jerusalem by the armies of the Rashidun Caliphate (Islamic Empire) under Caliph Umar Ibn el-Khatab.,,,,,,,war
687/01/01,691/12/31,"The caliph Abd al-Malik ibn Marwan of the Umayyad dynasty establishes the Muslim shrine Dome of the Rock on the Temple Mount in Jerusalem at the site of the First and Second Jewish Temples, a site which according to Muslim tradition was the place where Muhammad ascended to heaven.",,,,,,,muslim
749/01/01,,The Seventh Earthquake: Another powerful earthquake is recorded in the Jordan Rift Valley.,,,,,,,disaster
1009/10/18,,The Church of the Holy Sepulchre is destroyed by Caliph al-Hakim bi-Amr Allah.,,,,,,,
1096/01/01,1099/12/31,First Crusade and the establishment of the Catholic Kingdom of Jerusalem in Outremer.,,,,,,,
1095/11/27,,Pope Urban II launches the First Crusade at the Council of Clermont with the principal objective — the Catholic reconquest of the sacred city of Jerusalem and the Holy Land and freeing the Eastern Christians from Islamic rule.,,,,,,,war
1099/07/15,,"Catholic soldiers under Godfrey of Bouillon, Robert II of Flanders, Raymond IV of Toulouse and Tancred take Jerusalem after a difficult siege, killing nearly every inhabitant.",,,,,,,
1099/08/12,,The Crusaders defeat the Fatimids at the Battle of Ascalon.,,,,,,,
